Frame Start,Predicted Labels
0,driver_actions/safe_drive;gaze_on_road/looking_road;hands_using_wheel/both;hands_using_wheel/only_left
16,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
32,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
48,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
64,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
80,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
96,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
112,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
128,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
144,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
160,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
176,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
192,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
208,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
224,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
240,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
256,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
272,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
288,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
304,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
320,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
336,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
352,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
368,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
384,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
400,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
416,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
432,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
448,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
464,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
480,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
496,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
512,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
528,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
544,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
560,driver_actions/safe_drive;gaze_on_road/looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
576,driver_actions/safe_drive;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hand_on_gear/hand_on_gear;hands_using_wheel/only_left
592,driver_actions/reach_side;gaze_on_road/not_looking_road;hands_using_wheel/only_left
608,driver_actions/reach_side;gaze_on_road/looking_road;hands_using_wheel/only_left
624,driver_actions/reach_side;gaze_on_road/looking_road;hands_using_wheel/only_left
640,driver_actions/reach_side;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
656,driver_actions/hair_and_makeup;gaze_on_road/not_looking_road;hands_using_wheel/only_left
672,driver_actions/hair_and_makeup;gaze_on_road/not_looking_road;hands_using_wheel/only_left
