Frame Start,Predicted Labels
0,driver_actions/phonecall_right;gaze_on_road/looking_road;hands_using_wheel/only_left;talking/talking
16,driver_actions/phonecall_right;gaze_on_road/looking_road;hands_using_wheel/only_left
32,gaze_on_road/looking_road;hands_using_wheel/only_left
48,driver_actions/phonecall_right;gaze_on_road/looking_road;hands_using_wheel/only_left
64,gaze_on_road/looking_road;hands_using_wheel/only_left
80,gaze_on_road/looking_road;hands_using_wheel/only_left
96,gaze_on_road/looking_road;hands_using_wheel/only_left
112,gaze_on_road/looking_road;hands_using_wheel/only_left
128,gaze_on_road/looking_road;hands_using_wheel/only_left
144,gaze_on_road/looking_road;hands_using_wheel/only_left
160,gaze_on_road/looking_road;hands_using_wheel/only_left
176,gaze_on_road/looking_road;hands_using_wheel/only_left
192,gaze_on_road/looking_road;hands_using_wheel/only_left
208,gaze_on_road/looking_road;hands_using_wheel/only_left
224,gaze_on_road/looking_road;hands_using_wheel/only_left
240,gaze_on_road/looking_road;hands_using_wheel/only_left
256,gaze_on_road/looking_road;hands_using_wheel/only_left
272,gaze_on_road/looking_road;hands_using_wheel/only_left
288,gaze_on_road/looking_road;hands_using_wheel/only_left
304,gaze_on_road/looking_road;hands_using_wheel/only_left
320,gaze_on_road/looking_road;hands_using_wheel/only_left
336,gaze_on_road/looking_road;hands_using_wheel/only_left
352,gaze_on_road/looking_road;hands_using_wheel/only_left
368,gaze_on_road/looking_road;hands_using_wheel/only_left
384,gaze_on_road/looking_road;hands_using_wheel/only_left
400,gaze_on_road/looking_road;hands_using_wheel/only_left
416,gaze_on_road/looking_road;hands_using_wheel/only_left
432,gaze_on_road/looking_road;hands_using_wheel/only_left
448,gaze_on_road/looking_road;hands_using_wheel/only_left
464,gaze_on_road/looking_road;hands_using_wheel/only_left
480,gaze_on_road/looking_road;hands_using_wheel/only_left
496,gaze_on_road/looking_road;hands_using_wheel/only_left
512,gaze_on_road/looking_road;hands_using_wheel/only_left
528,gaze_on_road/looking_road;hands_using_wheel/only_left
544,gaze_on_road/looking_road;hands_using_wheel/only_left
560,gaze_on_road/looking_road;hands_using_wheel/only_left
576,driver_actions/texting_right;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
592,gaze_on_road/not_looking_road;hands_using_wheel/only_left
608,gaze_on_road/looking_road;hands_using_wheel/only_left
624,gaze_on_road/looking_road;hands_using_wheel/only_left
640,gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
656,driver_actions/hair_and_makeup;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
672,driver_actions/hair_and_makeup;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
688,driver_actions/hair_and_makeup;gaze_on_road/looking_road;gaze_on_road/not_looking_road;hands_using_wheel/only_left
704,driver_actions/hair_and_makeup;gaze_on_road/looking_road;hands_using_wheel/only_left
720,driver_actions/hair_and_makeup;gaze_on_road/looking_road;hands_using_wheel/only_left
736,driver_actions/hair_and_makeup;gaze_on_road/looking_road;hands_using_wheel/only_left
752,driver_actions/hair_and_makeup;gaze_on_road/looking_road;hands_using_wheel/only_left
